,jaar,wijkcode,buurtcode,fijnstof,roet,no2,woz,stedelijkheid,bevolkingsdichtheid,statuscode
97,2016,WK000901,BU00090100,13.82,0.4,10.61,151,5,93,-0.34
98,2015,WK000901,BU00090100,14.38,0.35,10.08,153,5,94,-0.325
99,2014,WK000901,BU00090100,16.66,0.45,12.01,161,5,95,-0.31
100,2013,WK000901,BU00090106,,0.4,10.94,171,5,96,#N/B
101,2016,WK000901,BU00090106,13.72,0.39,10.11,151,5,93,#N/B
102,2015,WK000901,BU00090106,14.28,0.34,9.52,153,5,94,#N/B
103,2014,WK000901,BU00090106,16.52,0.43,11.04,161,5,95,#N/B
104,2013,WK001000,BU00100005,,0.43,12.42,133,4,1884,-0.8475
105,2016,WK001000,BU00100005,13.8,0.41,11.31,116,4,1805,-1.13
106,2015,WK001000,BU00100005,14.38,0.37,10.95,119,4,1833,-1.07
107,2014,WK001000,BU00100005,16.68,0.45,12.58,126,4,1857,-1.01
108,2013,WK001000,BU00100000,,0.41,12.05,133,4,1884,-1.155
109,2016,WK001000,BU00100000,13.65,0.4,11.45,116,4,1805,-1.32
110,2015,WK001000,BU00100000,14.35,0.36,10.94,119,4,1833,-1.29
111,2014,WK001000,BU00100000,16.56,0.43,12.09,126,4,1857,-1.26
112,2013,WK001000,BU00100001,,0.42,12.8,133,4,1884,-1.34
113,2016,WK001000,BU00100001,13.74,0.41,11.81,116,4,1805,-1.24
114,2015,WK001000,BU00100001,14.34,0.37,11.18,119,4,1833,-1.335
115,2014,WK001000,BU00100001,16.61,0.44,12.56,126,4,1857,-1.43
116,2013,WK001000,BU00100003,,0.45,12.72,133,4,1884,-1.155
117,2016,WK001000,BU00100003,13.87,0.44,11.99,116,4,1805,-1.32
118,2015,WK001000,BU00100003,14.4,0.4,11.34,119,4,1833,-1.29
119,2014,WK001000,BU00100003,16.67,0.48,12.89,126,4,1857,-1.26
120,2013,WK001000,BU00100004,,0.46,13.14,133,4,1884,-0.8475
121,2016,WK001000,BU00100004,13.81,0.43,11.4,116,4,1805,-1.13
122,2015,WK001000,BU00100004,14.35,0.39,10.88,119,4,1833,-1.07
123,2014,WK001000,BU00100004,16.71,0.5,13.38,126,4,1857,-1.01
124,2013,WK001000,BU00100002,,0.42,11.57,133,4,1884,-3.375
125,2016,WK001000,BU00100002,13.81,0.42,10.95,116,4,1805,-3.45
126,2015,WK001000,BU00100002,14.33,0.37,10.45,119,4,1833,-3.53
127,2014,WK001000,BU00100002,16.57,0.45,11.89,126,4,1857,-3.61
128,2013,WK001001,BU00100104,,0.39,10.92,191,5,20,-2.9825
129,2016,WK001001,BU00100104,13.72,0.38,10.03,169,5,19,-3.3
130,2015,WK001001,BU00100104,14.23,0.34,9.54,170,5,19,-3.305
131,2014,WK001001,BU00100104,16.54,0.42,11.23,181,5,20,-3.31
132,2013,WK001001,BU00100107,,0.41,12.1,191,5,20,0.6375
133,2013,WK001003,BU00100107,,0.35,10.14,155,5,86,0.6375
134,2016,WK001001,BU00100107,13.55,0.37,9.92,169,5,19,0.56
135,2016,WK001003,BU00100107,13.59,0.35,9.01,136,5,84,0.56
136,2015,WK001001,BU00100107,14.42,0.33,9.68,170,5,19,0.655
137,2015,WK001003,BU00100107,14.1,0.31,8.76,137,5,84,0.655
138,2014,WK001001,BU00100107,16.88,0.42,12.08,181,5,20,0.75
139,2014,WK001003,BU00100107,16.29,0.39,10.38,146,5,85,0.75
140,2013,WK001001,BU00100303,,0.41,12.1,191,5,20,-0.37
141,2013,WK001003,BU00100303,,0.35,10.14,155,5,86,-0.37
142,2016,WK001001,BU00100303,13.55,0.37,9.92,169,5,19,-0.53
143,2016,WK001003,BU00100303,13.59,0.35,9.01,136,5,84,-0.53
144,2015,WK001001,BU00100303,14.42,0.33,9.68,170,5,19,-0.385
145,2015,WK001003,BU00100303,14.1,0.31,8.76,137,5,84,-0.385
146,2014,WK001001,BU00100303,16.88,0.42,12.08,181,5,20,-0.24
147,2014,WK001003,BU00100303,16.29,0.39,10.38,146,5,85,-0.24
148,2013,WK001001,BU00100109,,0.42,11.79,191,5,20,-2.9825
149,2016,WK001001,BU00100109,13.81,0.39,10.24,169,5,19,-3.3
150,2015,WK001001,BU00100109,14.33,0.35,9.77,170,5,19,-3.305
151,2014,WK001001,BU00100109,16.69,0.45,12.03,181,5,20,-3.31
152,2013,WK001001,BU00100103,,0.38,10.95,191,5,20,0.6375
153,2016,WK001001,BU00100103,13.57,0.37,9.8,169,5,19,0.56
154,2015,WK001001,BU00100103,14.4,0.33,9.47,170,5,19,0.655
155,2014,WK001001,BU00100103,16.67,0.4,11,181,5,20,0.75
156,2013,WK001002,BU00100209,,0.36,10.07,144,5,92,0.23
157,2016,WK001002,BU00100209,13.35,0.35,8.86,129,5,88,-0.01
158,2015,WK001002,BU00100209,14.25,0.32,8.85,130,5,89,0.085
159,2014,WK001002,BU00100209,16.52,0.39,10.22,136,5,90,0.18
160,2013,WK001002,BU00100207,,0.4,11.36,144,5,92,-0.99
161,2016,WK001002,BU00100207,13.58,0.37,9.56,129,5,88,-0.97
162,2015,WK001002,BU00100207,14.41,0.33,9.44,130,5,89,-0.96
163,2014,WK001002,BU00100207,16.74,0.41,11.33,136,5,90,-0.95
164,2013,WK001002,BU00100201,,0.36,9.93,144,5,92,0.23
165,2016,WK001002,BU00100201,13.49,0.35,9.02,129,5,88,-0.01
166,2015,WK001002,BU00100201,14.31,0.32,8.99,130,5,89,0.085
167,2014,WK001002,BU00100201,16.58,0.39,10.13,136,5,90,0.18
168,2013,WK001002,BU00100200,,0.37,10.2,144,5,92,-0.9725
169,2016,WK001002,BU00100200,13.49,0.37,9.25,129,5,88,-1.24
170,2015,WK001002,BU00100200,14.34,0.33,9.11,130,5,89,-1.17
171,2014,WK001002,BU00100200,16.61,0.4,10.55,136,5,90,-1.1
172,2013,WK001002,BU00100205,,0.38,10.97,144,5,92,-0.99
173,2016,WK001002,BU00100205,13.7,0.38,9.69,129,5,88,-0.97
174,2015,WK001002,BU00100205,14.48,0.34,9.5,130,5,89,-0.96
175,2014,WK001002,BU00100205,16.68,0.41,11.08,136,5,90,-0.95
176,2013,WK001002,BU00100202,,0.36,10,144,5,92,-1.3275
177,2016,WK001002,BU00100202,13.37,0.35,9.02,129,5,88,-1.6
178,2015,WK001002,BU00100202,14.22,0.32,9.02,130,5,89,-1.45
179,2014,WK001002,BU00100202,16.5,0.39,10.21,136,5,90,-1.3
180,2013,WK001002,BU00100203,,0.36,10.08,144,5,92,#N/B
181,2016,WK001002,BU00100203,13.3,0.35,9.08,129,5,88,#N/B
182,2015,WK001002,BU00100203,14.18,0.32,9.02,130,5,89,#N/B
183,2014,WK001002,BU00100203,16.46,0.39,10.32,136,5,90,#N/B
184,2013,WK001003,BU00100309,,0.36,10.49,155,5,86,-0.6675
185,2016,WK001003,BU00100309,13.68,0.35,9.14,136,5,84,-1.13
186,2015,WK001003,BU00100309,14.16,0.31,8.89,137,5,84,-0.965
187,2014,WK001003,BU00100309,16.37,0.39,10.59,146,5,85,-0.8
188,2013,WK001003,BU00100304,,0.37,10.5,155,5,86,#N/B
189,2016,WK001003,BU00100304,13.74,0.35,9.33,136,5,84,#N/B
190,2015,WK001003,BU00100304,14.21,0.31,8.99,137,5,84,#N/B
191,2014,WK001003,BU00100304,16.4,0.4,10.79,146,5,85,#N/B
192,2013,WK001003,BU00100305,,0.37,10.63,155,5,86,#N/B
193,2016,WK001003,BU00100305,13.85,0.36,9.5,136,5,84,#N/B
194,2015,WK001003,BU00100305,14.32,0.32,9.11,137,5,84,#N/B
195,2014,WK001003,BU00100305,16.61,0.4,10.9,146,5,85,#N/B
196,2013,WK001003,BU00100301,,0.36,10.34,155,5,86,-0.6675
197,2016,WK001003,BU00100301,13.46,0.36,9.37,136,5,84,-1.13
198,2015,WK001003,BU00100301,13.92,0.32,8.99,137,5,84,-0.965
199,2014,WK001003,BU00100301,16.06,0.4,10.62,146,5,85,-0.8
200,2013,WK001003,BU00100300,,0.35,9.98,155,5,86,-1.06
201,2016,WK001003,BU00100300,13.51,0.35,8.96,136,5,84,-1.48
202,2015,WK001003,BU00100300,14,0.31,8.76,137,5,84,-1.305
203,2014,WK001003,BU00100300,16.16,0.38,10.41,146,5,85,-1.13
204,2013,WK001003,BU00100302,,0.38,11.21,155,5,86,0.1625
205,2016,WK001003,BU00100302,14.01,0.37,9.84,136,5,84,0.1
206,2015,WK001003,BU00100302,14.45,0.33,9.51,137,5,84,0.11
207,2014,WK001003,BU00100302,16.84,0.41,11.35,146,5,85,0.12
208,2013,WK001400,BU00140003,,0.75,19.28,171,1,11331,-0.22
209,2016,WK001400,BU00140003,15.54,0.71,19.76,153,1,9703,0.21
210,2015,WK001400,BU00140003,15.92,0.64,18.41,151,1,9450,0.165
211,2014,WK001400,BU00140003,18.19,0.77,19.41,162,1,11717,0.12
212,2013,WK001400,BU00140004,,0.68,17.98,171,1,11331,-0.01
213,2016,WK001400,BU00140004,15.35,0.66,17.03,153,1,9703,0.06
214,2015,WK001400,BU00140004,15.73,0.61,15.96,151,1,9450,0.105
215,2014,WK001400,BU00140004,17.99,0.73,18.2,162,1,11717,0.15
216,2013,WK001400,BU00140000,,0.73,18.83,171,1,11331,-1.2675
217,2016,WK001400,BU00140000,15.57,0.7,19.15,153,1,9703,-0.66
218,2015,WK001400,BU00140000,15.97,0.65,17.96,151,1,9450,-0.71
219,2014,WK001400,BU00140000,18.18,0.77,19.06,162,1,11717,-0.76
220,2013,WK001400,BU00140002,,0.76,19.29,171,1,11331,-1.0975
221,2016,WK001400,BU00140002,15.66,0.73,20.47,153,1,9703,-0.64
222,2015,WK001400,BU00140002,16.05,0.68,19.19,151,1,9450,-0.665
223,2014,WK001400,BU00140002,18.25,0.79,19.6,162,1,11717,-0.69
224,2013,WK001400,BU00140005,,0.72,18.5,171,1,11331,-1.2675
225,2016,WK001400,BU00140005,15.55,0.69,18.36,153,1,9703,-0.66
226,2015,WK001400,BU00140005,15.9,0.64,17.11,151,1,9450,-0.71
227,2014,WK001400,BU00140005,18.14,0.76,18.78,162,1,11717,-0.76
228,2013,WK001400,BU00140001,,0.75,19.2,171,1,11331,-1.0975
229,2016,WK001400,BU00140001,15.53,0.71,19.59,153,1,9703,-0.64
230,2015,WK001400,BU00140001,15.95,0.65,18.59,151,1,9450,-0.665
231,2014,WK001400,BU00140001,18.18,0.77,19.42,162,1,11717,-0.69
232,2013,WK001400,BU00140008,,0.81,20.75,171,1,11331,-1.46
233,2016,WK001400,BU00140008,15.77,0.76,21.08,153,1,9703,-1.43
234,2015,WK001400,BU00140008,16.19,0.71,20.22,151,1,9450,-1.45
235,2014,WK001400,BU00140008,18.38,0.83,20.66,162,1,11717,-1.47
236,2013,WK001401,BU00140107,,0.68,19.12,156,1,6956,-0.215
237,2016,WK001401,BU00140107,14.63,0.61,17.4,151,1,5523,-0.24
238,2015,WK001401,BU00140107,15.17,0.57,16.39,148,1,5509,-0.235
239,2014,WK001401,BU00140107,17.42,0.67,18.15,146,1,7105,-0.23
240,2013,WK001401,BU00140108,,0.62,17.57,156,1,6956,-0.215
241,2016,WK001401,BU00140108,14.37,0.57,16.55,151,1,5523,-0.24
242,2015,WK001401,BU00140108,14.93,0.52,15.4,148,1,5509,-0.235
243,2014,WK001401,BU00140108,17.12,0.59,16.4,146,1,7105,-0.23
244,2013,WK001401,BU00140104,,0.69,18.82,156,1,6956,-0.215
245,2013,WK001402,BU00140104,,0.73,20.27,144,1,1859,-0.215
246,2016,WK001401,BU00140104,15.19,0.67,18.44,151,1,5523,-0.24
247,2016,WK001402,BU00140104,15.38,0.68,18.14,170,1,13214,-0.24
248,2015,WK001401,BU00140104,15.67,0.63,17.47,148,1,5509,-0.235
249,2015,WK001402,BU00140104,15.77,0.63,17.21,166,1,13148,-0.235
250,2014,WK001401,BU00140104,17.87,0.71,18.91,146,1,7105,-0.23
251,2014,WK001402,BU00140104,18.02,0.75,19.68,138,1,1882,-0.23
252,2013,WK001401,BU00140203,,0.69,18.82,156,1,6956,-0.22
253,2013,WK001402,BU00140203,,0.73,20.27,144,1,1859,-0.22
254,2016,WK001401,BU00140203,15.19,0.67,18.44,151,1,5523,0.21
255,2016,WK001402,BU00140203,15.38,0.68,18.14,170,1,13214,0.21
256,2015,WK001401,BU00140203,15.67,0.63,17.47,148,1,5509,0.165
257,2015,WK001402,BU00140203,15.77,0.63,17.21,166,1,13148,0.165
258,2014,WK001401,BU00140203,17.87,0.71,18.91,146,1,7105,0.12
259,2014,WK001402,BU00140203,18.02,0.75,19.68,138,1,1882,0.12
260,2013,WK001401,BU00140106,,0.72,19.8,156,1,6956,-1.46
261,2016,WK001401,BU00140106,15.42,0.68,18.71,151,1,5523,-1.43
262,2015,WK001401,BU00140106,15.8,0.63,17.57,148,1,5509,-1.45
263,2014,WK001401,BU00140106,18.05,0.76,19.64,146,1,7105,-1.47
264,2013,WK001401,BU00140100,,0.82,21,156,1,6956,0.7675
265,2016,WK001401,BU00140100,15.69,0.76,21.28,151,1,5523,0.69
266,2015,WK001401,BU00140100,16.15,0.73,20.63,148,1,5509,0.725
267,2014,WK001401,BU00140100,18.26,0.81,20.7,146,1,7105,0.76
268,2013,WK001401,BU00140102,,0.72,19.05,156,1,6956,0.14
269,2016,WK001401,BU00140102,15.18,0.7,19.46,151,1,5523,0.42
270,2015,WK001401,BU00140102,15.68,0.65,18.74,148,1,5509,0.41
271,2014,WK001401,BU00140102,17.8,0.71,18.77,146,1,7105,0.4
272,2013,WK001401,BU00140105,,0.74,19.31,156,1,6956,-1.46
273,2016,WK001401,BU00140105,15.51,0.71,19.54,151,1,5523,-1.43
274,2015,WK001401,BU00140105,15.93,0.65,18.66,148,1,5509,-1.45
275,2014,WK001401,BU00140105,18.15,0.76,19.32,146,1,7105,-1.47
276,2013,WK001401,BU00140103,,0.72,19.27,156,1,6956,0.14
277,2016,WK001401,BU00140103,15.3,0.69,19.33,151,1,5523,0.42
278,2015,WK001401,BU00140103,15.77,0.65,18.39,148,1,5509,0.41
279,2014,WK001401,BU00140103,17.92,0.72,19.04,146,1,7105,0.4
280,2013,WK001401,BU00140101,,0.79,20.12,156,1,6956,-0.2625
281,2016,WK001401,BU00140101,15.65,0.75,20.29,151,1,5523,0
282,2015,WK001401,BU00140101,16.11,0.7,19.54,148,1,5509,-0.055
283,2014,WK001401,BU00140101,18.28,0.8,20.32,146,1,7105,-0.11
284,2013,WK001402,BU00140201,,0.64,17.49,144,1,1859,-0.01
285,2016,WK001402,BU00140201,15.19,0.63,15.64,170,1,13214,0.06
286,2015,WK001402,BU00140201,15.57,0.57,14.64,166,1,13148,0.105
287,2014,WK001402,BU00140201,17.88,0.69,17.72,138,1,1882,0.15
288,2013,WK001402,BU00140202,,0.74,19.76,144,1,1859,-0.22
289,2016,WK001402,BU00140202,15.46,0.69,18.44,170,1,13214,0.21
290,2015,WK001402,BU00140202,15.82,0.63,17.3,166,1,13148,0.165
291,2014,WK001402,BU00140202,18.15,0.77,20.07,138,1,1882,0.12
292,2013,WK001402,BU00140200,,0.63,17.41,144,1,1859,-0.01
293,2016,WK001402,BU00140200,15.03,0.61,15.01,170,1,13214,0.06
294,2015,WK001402,BU00140200,15.42,0.55,14.06,166,1,13148,0.105
295,2014,WK001402,BU00140200,17.77,0.67,17.38,138,1,1882,0.15
296,2013,WK001403,BU00140301,,0.67,18.28,134,1,9993,-3.0125
297,2016,WK001403,BU00140301,15.36,0.65,16.3,122,1,10421,-2.9
298,2015,WK001403,BU00140301,15.73,0.59,15.28,121,1,10258,-2.865
299,2014,WK001403,BU00140301,17.98,0.72,18.82,127,1,10104,-2.83
300,2013,WK001403,BU00140300,,0.72,20.08,134,1,9993,-3.1725
301,2016,WK001403,BU00140300,15.29,0.66,17.13,122,1,10421,-2.87
302,2015,WK001403,BU00140300,15.67,0.61,16.06,121,1,10258,-2.96
303,2014,WK001403,BU00140300,17.96,0.73,19.62,127,1,10104,-3.05
304,2013,WK001403,BU00140302,,0.65,17.53,134,1,9993,-0.65
305,2016,WK001403,BU00140302,15.28,0.63,16.24,122,1,10421,-0.6
306,2015,WK001403,BU00140302,15.7,0.58,15.28,121,1,10258,-0.59
307,2014,WK001403,BU00140302,17.84,0.69,17.84,127,1,10104,-0.58
308,2013,WK001404,BU00140400,,0.71,18.32,134,1,6698,-2.615
309,2016,WK001404,BU00140400,15.43,0.7,19.6,125,1,7739,-2.58
310,2015,WK001404,BU00140400,15.84,0.63,18.31,125,1,7763,-2.6
311,2014,WK001404,BU00140400,18.05,0.75,18.68,126,1,6854,-2.62
312,2013,WK001404,BU00140403,,0.61,16.33,134,1,6698,-2.615
313,2016,WK001404,BU00140403,14.66,0.62,16.51,125,1,7739,-2.58
314,2015,WK001404,BU00140403,15.18,0.55,15.88,125,1,7763,-2.6
315,2014,WK001404,BU00140403,17.27,0.64,16.57,126,1,6854,-2.62
316,2013,WK001404,BU00140404,,0.68,17.58,134,1,6698,-2.615
317,2016,WK001404,BU00140404,14.99,0.68,18.54,125,1,7739,-2.58
318,2015,WK001404,BU00140404,15.48,0.6,17.56,125,1,7763,-2.6
319,2014,WK001404,BU00140404,17.55,0.7,17.81,126,1,6854,-2.62
320,2013,WK001404,BU00140401,,0.63,17.11,134,1,6698,-2.615
321,2016,WK001404,BU00140401,15.11,0.62,16.46,125,1,7739,-2.58
322,2015,WK001404,BU00140401,15.57,0.56,15.47,125,1,7763,-2.6
323,2014,WK001404,BU00140401,17.7,0.67,17.37,126,1,6854,-2.62
324,2013,WK001404,BU00140402,,0.65,17.11,134,1,6698,-2.615
325,2016,WK001404,BU00140402,15,0.66,18.25,125,1,7739,-2.58
326,2015,WK001404,BU00140402,15.46,0.59,17.26,125,1,7763,-2.6
327,2014,WK001404,BU00140402,17.62,0.69,17.41,126,1,6854,-2.62
328,2013,WK001405,BU00140505,,0.55,16.06,203,1,566,0.7675
329,2013,WK001405,BU00140505,,0.62,17.53,203,1,566,0.7675
330,2013,WK001405,BU00140505,,0.58,16.78,203,1,566,0.7675
331,2013,WK001408,BU00140505,,0.61,17.53,203,4,916,0.7675
332,2016,WK001405,BU00140505,13.97,0.49,13.95,222,2,234,0.69
333,2016,WK001405,BU00140505,14.24,0.55,16.49,222,2,234,0.69
334,2016,WK001405,BU00140505,14.17,0.52,15.38,222,2,234,0.69
335,2016,WK001408,BU00140505,14.26,0.53,15.1,187,4,856,0.69
336,2015,WK001405,BU00140505,14.72,0.46,12.98,214,2,216,0.725
337,2015,WK001405,BU00140505,14.84,0.51,15.86,214,2,216,0.725
338,2015,WK001405,BU00140505,14.82,0.49,14.94,214,2,216,0.725
339,2015,WK001408,BU00140505,14.82,0.48,14.17,184,4,888,0.725
340,2014,WK001405,BU00140505,16.76,0.47,12.71,186,1,582,0.76
341,2014,WK001405,BU00140505,16.79,0.58,16.06,186,1,582,0.76
342,2014,WK001405,BU00140505,16.75,0.53,15.14,186,1,582,0.76
343,2014,WK001408,BU00140505,17.18,0.61,16.99,196,4,915,0.76
344,2013,WK001405,BU00140506,,0.55,16.06,203,1,566,0.7675
345,2013,WK001405,BU00140506,,0.62,17.53,203,1,566,0.7675
346,2013,WK001405,BU00140506,,0.58,16.78,203,1,566,0.7675
347,2013,WK001408,BU00140506,,0.61,17.53,203,4,916,0.7675
348,2016,WK001405,BU00140506,13.97,0.49,13.95,222,2,234,0.69
349,2016,WK001405,BU00140506,14.24,0.55,16.49,222,2,234,0.69
350,2016,WK001405,BU00140506,14.17,0.52,15.38,222,2,234,0.69
351,2016,WK001408,BU00140506,14.26,0.53,15.1,187,4,856,0.69
352,2015,WK001405,BU00140506,14.72,0.46,12.98,214,2,216,0.725
353,2015,WK001405,BU00140506,14.84,0.51,15.86,214,2,216,0.725
354,2015,WK001405,BU00140506,14.82,0.49,14.94,214,2,216,0.725
355,2015,WK001408,BU00140506,14.82,0.48,14.17,184,4,888,0.725
356,2014,WK001405,BU00140506,16.76,0.47,12.71,186,1,582,0.76
357,2014,WK001405,BU00140506,16.79,0.58,16.06,186,1,582,0.76
358,2014,WK001405,BU00140506,16.75,0.53,15.14,186,1,582,0.76
359,2014,WK001408,BU00140506,17.18,0.61,16.99,196,4,915,0.76
360,2013,WK001405,BU00140510,,0.55,16.06,203,1,566,0.7675
361,2013,WK001405,BU00140510,,0.62,17.53,203,1,566,0.7675
